"english","french"
"Basic bulk sms notification using rows","Notification groupée par SMS de base utilisant des lignes"
"Basic email notification","Notification courriel de base"
"Basic SMS notification","Notification SMS de base"
"Bulk job created successfully","Tâche de notification en masse créée avec succès"
"Content exceeds character limit","Le contenu dépasse la limite de caractères"
"Content of the notification","Contenu de la notification"
"Create a new template with a required template category.","Créer un nouveau modèle avec une catégorie de modèle obligatoire."
"Create a template","Créer un modèle"
"Create an email template","Créer un modèle courriel"
"Create an SMS template","Créer un modèle SMS"
"Create and send an email notification","Créer et envoyer une notification par courriel"
"Create and send an SMS notification","Créer et envoyer une notification SMS"
"Custom filename for the attachment","Nom de fichier personnalisé pour la pièce jointe"
"Description of the error","Description de l’erreur"
"Download report content","Télécharger le contenu du rapport"
"Download the generated report content as a CSV file. The report must have a status of ready.","Télécharger le contenu du rapport généré sous forme de fichier CSV. Le rapport doit avoir le statut « ready »."
"Email address of the recipient","Adresse courriel du destinataire"
"Email address of the user who created the template","Adresse courriel de l’utilisateur qui a créé le modèle"
"email address,name\nalice@example.com,Alice\nbob@example.com,Bob","adresse courriel,nom\nalice@example.com,Alice\nbob@example.com,Bob"
"Email body content","Corps du courriel"
"Email notification created successfully","Notification courriel créée avec succès"
"Email subject line","Objet du courriel"
"Email with file attachments","Courriel avec pièces jointes"
"Email with file link","Courriel avec lien vers un fichier"
"Email with personalisation placeholder","Courriel avec variable de personnalisation"
"Error code","Code d’erreur"
"Error message","Message d’erreur"
"Error type","Type d’erreur"
"Failed to retrieve report content","Échec de la récupération du contenu du rapport"
"Field that failed validation","Champ ayant échoué la validation"
"File content as base64 encoded string","Contenu du fichier encodé en base64"
"Filter by notification status","Filtrer par statut de notification"
"Filter by template type","Filtrer par type de modèle"
"Filter notifications older than this notification ID (UUID)","Filtrer les notifications plus anciennes que cet ID de notification (UUID)"
"Filter reports older than this report ID (UUID)","Filtrer les rapports plus anciens que cet ID de rapport (UUID)"
"Find out more about using the GC Notify API","En savoir plus sur l’utilisation de l’API GC Notify"
"Follow-up reminder","Rappel de suivi"
"Forbidden - API key lacks manage_reports permission","Interdit - la clé API n’a pas la permission manage_reports"
"Forbidden - authentication or authorization errors","Interdit - erreurs d’authentification ou d’autorisation"
"Forbidden - NEW API key missing manage_templates permission or template type not allowed for service","Interdit - la NOUVELLE clé API n’a pas la permission manage_permissions requise (manage_templates) ou le type de modèle n’est pas autorisé pour le service"
"Forbidden - NEW API key missing required manage_templates permission","Interdit - la NOUVELLE clé API n’a pas la permission manage_permissions requise (manage_templates)"
"From email address","Adresse courriel de l'expéditeur"
"From phone number","Numéro de l'expéditeur"
"GC Notify API server","Serveur API GC Notify"
"GC Notify Support","Support GC Notify"
"Get list of notifications","Obtenir la liste des notifications"
"Get list of reports","Obtenir la liste des rapports"
"Get list of templates","Obtenir la liste des modèles"
"Get notification by ID","Obtenir une notification par ID"
"Get report by ID","Obtenir un rapport par ID"
"Get template by ID","Obtenir un modèle par ID"
"Get template categories","Obtenir les catégories de modèles"
"Hello ((name)), your service update is ready.","Bonjour ((name)), la mise à jour de votre service est prête."
"How the file should be sent - as attachment or as a link","Comment le fichier doit être envoyé - en pièce jointe ou en lien"
"HTTP status code","Code de statut HTTP"
"ID of the reply-to address to use","ID de l'adresse de réponse à utiliser"
"ID of the SMS sender to use","ID de l'expéditeur SMS à utiliser"
"ID of the template to use","ID du modèle à utiliser"
"If you prefer to pass the content of CSV files instead of rows in the rows argument, you can do so. Pass the full content of your CSV file in a key named csv. Do not include the rows argument.","Si vous préférez transmettre le contenu des fichiers CSV au lieu des lignes dans l’argument rows, vous pouvez le faire. Passez le contenu complet de votre fichier CSV dans une clé nommée csv. N’incluez pas l’argument rows."
"If you want to send notifications in the future, you can specify a datetime up to 4 days in the future, in ISO 8601 format, UTC time.","Si vous souhaitez envoyer des notifications dans le futur, vous pouvez spécifier une date et une heure jusqu’à 4 jours à l’avance, au format ISO 8601, heure UTC."
"Internal server error","Erreur interne du serveur"
"Invalid template category value","Valeur de catégorie de modèle invalide"
"Invalid template ID format","Format d’ID de modèle invalide"
"January Appointment Reminders","Rappels de rendez-vous de janvier"
"january-reminders","rappels-janvier"
"Message body template","Corps du message du modèle"
"Missing manage templates permission","Permission de gestion des modèles manquante"
"Move template into a folder","Déplacer le modèle dans un dossier"
"Notification not found","Notification non trouvée"
"Notification not found in database","Notification non trouvée dans la base de données"
"Notification retrieved successfully","Notification récupérée avec succès"
"Notifications API v2","API de Notifications v2"
"Operations for creating, updating, retrieving, and archiving templates using a NEW API key with manage_templates permission","Opérations pour créer, mettre à jour, récupérer et archiver des modèles avec la permission manage_permissions (manage_templates)"
"Operations for requesting and downloading reports using an API key with manage_reports permission","Opérations pour demander et télécharger des rapports avec une clé API ayant la permission manage_reports"
"Operations related to notification templates","Opérations liées aux modèles de notification"
"Operations related to notifications","Opérations liées aux notifications"
"Optional reference identifier","Identifiant de référence optionnel"
"Parent folder not found","Dossier parent introuvable"
"Phone number of the recipient","Numéro de téléphone du destinataire"
"phone number,name\n123-456-7890,Alice\n+112345678901,Bob","numéro de téléphone,nom\n123-456-7890,Alice\n+112345678901,Bob"
"Reference identifier for the notification","Identifiant de référence pour la notification"
"Reference identifier provided when creating the notification","Identifiant de référence fourni lors de la création de la notification"
"Remove template from folder","Retirer le modèle du dossier"
"Report content returned successfully","Contenu du rapport retourné avec succès"
"Report is not ready for download","Le rapport n’est pas prêt à être téléchargé"
"Report not found","Rapport non trouvé"
"Report request accepted","Demande de rapport acceptée"
"Report retrieved successfully","Rapport récupéré avec succès"
"Request a report","Demander un rapport"
"Request a report for a bulk job","Demander un rapport pour une tâche en masse"
"Request an email report","Demander un rapport de courriels"
"Request an SMS report","Demander un rapport de SMS"
"Request the generation of a report. Reports are generated asynchronously; poll the report by ID to check its status before downloading its content.","Demander la génération d’un rapport. Les rapports sont générés de façon asynchrone; interrogez le rapport par ID pour vérifier son statut avant d’en télécharger le contenu."
"Invalid report type","Type de rapport invalide"
"Missing job_id for job report","job_id manquant pour le rapport de tâche"
"Required field missing","Champ obligatoire manquant"
"Response result","Résultat de la réponse"
"Retrieve a list of templates. Filterable by template type","Récupérer une liste de modèles. Filtrable par type de modèle"
"Retrieve a paginated list of notifications with optional filtering","Récupérer une liste paginée de notifications avec filtrage optionnel"
"Retrieve a paginated list of reports for the authenticated service","Récupérer une liste paginée de rapports pour le service authentifié"
"Retrieve a specific notification by its ID","Récupérer une notification spécifique par son ID"
"Retrieve a specific report by its ID","Récupérer un rapport spécifique par son ID"
"Retrieve a specific template by ID using manage template permissions.","Récupérer un modèle spécifique par ID avec les permissions de gestion des modèles."
"Retrieve a specific template by its ID","Récupérer un modèle spécifique par son ID"
"Retrieve all available template categories for manage template operations.","Récupérer toutes les catégories de modèles disponibles pour les opérations de gestion des modèles."
"Schedule notification for future delivery","Planifier la notification pour un envoi ultérieur"
"Scheduled bulk notifications with a ref for tracking and reply to address","Notifications groupées planifiées avec une référence pour le suivi et une adresse de réponse"
"Scheduled email notification","Notification courriel planifiée"
"Scheduled SMS notification","Notification SMS planifiée"
"Send a batch of notifications","Envoyer un lot de notifications"
"Send an email notification","Envoyer une notification par courriel"
"Send an SMS notification","Envoyer une notification SMS"
"Send notifications in bulk, up to 50,000 recipients at a time, for a single template.","Envoyez des notifications en masse, jusqu’à 50 000 destinataires à la fois, pour un seul modèle."
"Service does not allow this template type","Le service n’autorise pas ce type de modèle"
"Service update","Mise à jour du service"
"Service update email","Courriel de mise à jour du service"
"SMS message body","Corps du message SMS"
"SMS notification created successfully","Notification SMS créée avec succès"
"SMS with personalisation placeholder","SMS avec variable de personnalisation"
"Subject is required when template_type is email.","Le champ subject est requis lorsque template_type vaut email."
"Subject template (for email)","Objet du modèle (pour courriel)"
"Successfully retrieved notifications","Notifications récupérées avec succès"
"Successfully retrieved reports","Rapports récupérés avec succès"
"Successfully retrieved templates","Modèles récupérés avec succès"
"Template archived successfully","Modèle archivé avec succès"
"Template categories retrieved successfully","Catégories de modèles récupérées avec succès"
"Template category not found","Catégorie de modèle introuvable"
"Template created successfully","Modèle créé avec succès"
"Template description","Description du modèle"
"Template is already archived","Le modèle est déjà archivé"
"Template name","Nom du modèle"
"Template name too long","Nom du modèle trop long"
"Template not found","Modèle non trouvé"
"Template retrieved successfully","Modèle récupéré avec succès"
"Template updated successfully","Modèle mis à jour avec succès"
"Template variable value","Valeur de la variable du modèle"
"The ID of the API key used to create the job","ID de la clé API utilisée pour créer la tâche"
"The ID of the bulk notification job","ID de la tâche d’envoi en masse"
"The ID of the job to generate a report for (required when report_type is job)","ID de la tâche pour laquelle générer un rapport (requis lorsque report_type vaut job)"
"The ID of the reply-to address or phone number to use","ID de l’adresse de réponse ou du numéro de téléphone à utiliser"
"The ID of the report","ID du rapport"
"The ID of the requested report","ID du rapport demandé"
"The ID of the sender used for this job, if applicable","ID de l’expéditeur utilisé pour cette tâche, si applicable"
"The ID of the service that created the job","ID du service ayant créé la tâche"
"The ID of the service the report belongs to","ID du service auquel appartient le rapport"
"The ID of the template used for this notification job","ID du modèle utilisé pour cette tâche"
"The ID of the user who created the job","ID de l’utilisateur ayant créé la tâche"
"The language of the report","La langue du rapport"
"The link to the current page","Lien vers la page courante"
"The link to the next page","Lien vers la page suivante"
"The name of the API key","Nom de la clé API"
"The name of the original CSV file if one was provided","Nom du fichier CSV original si fourni"
"The name of the service that created the job","Nom du service ayant créé la tâche"
"The name of the user who created the job","Nom de l’utilisateur ayant créé la tâche"
"The name of your bulk sending job. Used to identify this bulk of notifications later on.","Nom de votre tâche d’envoi en masse. Utilisé pour identifier ce lot de notifications ultérieurement."
"The number of notifications in the bulk job","Nombre de notifications dans la tâche en masse"
"The status of the bulk notification job","Statut de la tâche d’envoi en masse"
"The status of the report","Le statut du rapport"
"The type of API key","Type de clé API"
"The type of report","Le type de rapport"
"The type of report to generate","Le type de rapport à générer"
"The type of template used for this job (email or sms)","Type de modèle utilisé pour cette tâche (email ou sms)"
"The version of the template used for this notification job","Version du modèle utilisé pour cette tâche"
"This endpoint requires a NEW API key with the manage_templates permission","Ce point de terminaison requiert une NOUVELLE clé API avec la permission manage_permissions (manage_templates)."
"This endpoint requires a NEW API key with the manage_templates permission.","Ce point de terminaison requiert une NOUVELLE clé API avec la permission manage_permissions (manage_templates)."
"Timestamp when error occurred","Date et heure de l’erreur"
"Timestamp when template was created","Date de création du modèle"
"Timestamp when template was last updated","Date de dernière mise à jour du modèle"
"Too many requests - rate limiting","Trop de requêtes - limitation du débit"
"Type of notification this template is for","Type de notification pour ce modèle"
"Unauthorized","Non autorisé"
"Unauthorized access","Accès non autorisé"
"Unauthorized, authentication token must be provided","Non autorisé, le jeton d'authentification doit être fourni"
"Unique identifier for the notification","Identifiant unique de la notification"
"Unique identifier for the report","Identifiant unique du rapport"
"Unique identifier for the template","Identifiant unique du modèle"
"Update a template","Mettre à jour un modèle"
"Update editable fields on a template, including category and parent folder assignment.","Mettre à jour les champs modifiables d’un modèle, y compris la catégorie et l’affectation du dossier parent."
"Update template name and category","Mettre à jour le nom du modèle et la catégorie"
"Updates","Mises à jour"
"URI to retrieve the notification","URI pour récupérer la notification"
"User who created the template","Utilisateur ayant créé le modèle"
"Validation error message","Message d’erreur de validation"
"Variables to substitute in the template","Variables à substituer dans le modèle"
"Variables to substitute in the template and optional file attachments","Variables à substituer dans le modèle et pièces jointes optionnelles"
"When the job is scheduled to be processed, null if immediate","Date de planification de la tâche, null si immédiat"
"When the job was created","Date de création de la tâche"
"When the job was last updated","Date de dernière mise à jour de la tâche"
"When the notification is scheduled to be sent","Quand la notification est planifiée pour être envoyée"
"When the processing of the job finished","Date de fin du traitement de la tâche"
"When the processing of the job started","Date de début du traitement de la tâche"
"When the report expires and can no longer be downloaded","Date d’expiration du rapport, après laquelle il ne peut plus être téléchargé"
"When the report generation completed","Date d’achèvement de la génération du rapport"
"When the report was requested","Date de la demande du rapport"
"Whether the job has been archived","Indique si la tâche a été archivée"
"Whether the template is active","Indique si le modèle est actif"
"Whether to include jobs in the response","Indique s’il faut inclure les tâches dans la réponse"
"You can schedule to send notifications up to 4 days in advance.","Vous pouvez planifier l’envoi de notifications jusqu’à 4 jours à l’avance."
"Your update","Votre mise à jour"
